Title of the experimentOpened shock.txt...
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 02                                                .	-2
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 02                                                .	-2
 03                                                .	-1
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 01                                                .	-3
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 01                                                .	-3
 02                                                .	-2
 02                                                .	-2
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
 00                                                .	-4
